Wavelength (nm),Absorbance
900.0, 2.632
898.0, 2.650
896.0, 2.667
894.0, 2.685
892.0, 2.694
890.0, 2.725
888.0, 2.726
886.0, 2.745
884.0, 2.741
882.0, 2.739
880.0, 2.736
878.0, 2.713
876.0, 2.691
874.0, 2.653
872.0, 2.594
870.0, 2.516
868.0, 2.427
866.0, 2.324
864.0, 2.223
862.0, 2.117
860.0, 2.007
858.0, 1.897
856.0, 1.791
854.0, 1.696
852.0, 1.607
850.0, 1.524
848.0, 1.448
846.0, 1.377
844.0, 1.313
842.0, 1.255
840.0, 1.205
838.0, 1.161
836.0, 1.123
834.0, 1.090
832.0, 1.062
830.0, 1.039
828.0, 1.021
826.0, 1.008
824.0, 0.995
822.0, 0.983
820.0, 0.970
818.0, 0.956
816.0, 0.939
814.0, 0.922
812.0, 0.904
810.0, 0.887
808.0, 0.872
806.0, 0.858
804.0, 0.846
802.0, 0.835
800.0, 0.828
798.0, 0.822
796.0, 0.816
794.0, 0.812
792.0, 0.809
790.0, 0.806
788.0, 0.803
786.0, 0.799
784.0, 0.794
782.0, 0.789
780.0, 0.782
778.0, 0.774
776.0, 0.766
774.0, 0.755
772.0, 0.744
770.0, 0.731
768.0, 0.717
766.0, 0.702
764.0, 0.684
762.0, 0.666
760.0, 0.642
758.0, 0.621
756.0, 0.597
754.0, 0.574
752.0, 0.548
750.0, 0.521
748.0, 0.496
746.0, 0.469
744.0, 0.443
742.0, 0.418
740.0, 0.395
738.0, 0.372
736.0, 0.351
734.0, 0.331
732.0, 0.314
730.0, 0.297
728.0, 0.282
726.0, 0.268
724.0, 0.255
722.0, 0.243
720.0, 0.231
718.0, 0.221
716.0, 0.212
714.0, 0.203
712.0, 0.194
710.0, 0.185
708.0, 0.177
706.0, 0.170
704.0, 0.162
702.0, 0.155
700.0, 0.148
698.0, 0.141
696.0, 0.135
694.0, 0.128
692.0, 0.122
690.0, 0.116
688.0, 0.109
686.0, 0.104
684.0, 0.098
682.0, 0.092
680.0, 0.087
678.0, 0.081
676.0, 0.076
674.0, 0.071
672.0, 0.065
670.0, 0.060
668.0, 0.056
666.0, 0.051
664.0, 0.047
662.0, 0.042
660.0, 0.037
658.0, 0.033
656.0, 0.029
654.0, 0.024
652.0, 0.020
650.0, 0.017
648.0, 0.012
646.0, 0.008
644.0, 0.001
642.0,0
640.0,0
638.0,0
636.0,0
634.0,0
632.0,0
630.0,0
628.0,0
626.0,0
624.0,0
622.0,0
620.0,0
618.0,0
616.0,0
614.0,0
612.0,0
610.0,0
608.0,0
606.0,0
604.0,0
602.0,0
600.0,0
####,####
 Gain : ,3
 Light Source : ,2
 Mode : ,D2
 Time : ,22/02/2016-14:17:35
####,####
