Wavelength (nm),Absorbance
900.0, 2.519
898.0, 2.535
896.0, 2.560
894.0, 2.568
892.0, 2.586
890.0, 2.606
888.0, 2.626
886.0, 2.624
884.0, 2.631
882.0, 2.639
880.0, 2.626
878.0, 2.614
876.0, 2.602
874.0, 2.564
872.0, 2.521
870.0, 2.453
868.0, 2.377
866.0, 2.288
864.0, 2.198
862.0, 2.096
860.0, 1.993
858.0, 1.887
856.0, 1.784
854.0, 1.690
852.0, 1.602
850.0, 1.521
848.0, 1.445
846.0, 1.376
844.0, 1.313
842.0, 1.257
840.0, 1.205
838.0, 1.160
836.0, 1.122
834.0, 1.090
832.0, 1.063
830.0, 1.039
828.0, 1.020
826.0, 1.007
824.0, 0.993
822.0, 0.983
820.0, 0.970
818.0, 0.956
816.0, 0.940
814.0, 0.922
812.0, 0.905
810.0, 0.889
808.0, 0.875
806.0, 0.861
804.0, 0.849
802.0, 0.840
800.0, 0.831
####,####
 Gain : ,3
 Light Source : ,D2 lamp
 Mode : ,Absorbance
 Time : ,23/02/2016-11:35:53
####,####
