Wavelength (nm),Absorbance
900.0, 2.519
899.8, 2.521
899.6, 2.523
899.4, 2.525
899.2, 2.527
899.0, 2.529
898.8, 2.531
898.6, 2.533
898.4, 2.537
898.2, 2.539
898.0, 2.541
897.8, 2.546
897.6, 2.546
897.4, 2.546
897.2, 2.548
897.0, 2.547
896.8, 2.550
896.6, 2.554
896.4, 2.554
896.2, 2.556
896.0, 2.560
895.8, 2.560
895.6, 2.564
895.4, 2.567
895.2, 2.567
895.0, 2.569
894.8, 2.569
894.6, 2.571
894.4, 2.571
894.2, 2.573
894.0, 2.575
893.8, 2.577
893.6, 2.582
893.4, 2.584
893.2, 2.586
893.0, 2.589
892.8, 2.589
892.6, 2.591
892.4, 2.593
892.2, 2.593
892.0, 2.595
891.8, 2.598
891.6, 2.600
891.4, 2.603
891.2, 2.605
891.0, 2.605
890.8, 2.608
890.6, 2.608
890.4, 2.610
890.2, 2.613
890.0, 2.613
889.8, 2.613
889.6, 2.614
889.4, 2.614
889.2, 2.616
889.0, 2.619
888.8, 2.621
888.6, 2.624
888.4, 2.624
888.2, 2.626
888.0, 2.626
887.8, 2.626
887.6, 2.629
887.4, 2.631
887.2, 2.633
887.0, 2.635
886.8, 2.635
886.6, 2.635
886.4, 2.635
886.2, 2.634
886.0, 2.634
885.8, 2.636
885.6, 2.636
885.4, 2.638
885.2, 2.638
885.0, 2.637
884.8, 2.640
884.6, 2.640
884.4, 2.642
884.2, 2.639
884.0, 2.636
883.8, 2.636
883.6, 2.635
883.4, 2.638
883.2, 2.640
883.0, 2.637
882.8, 2.634
882.6, 2.634
882.4, 2.634
882.2, 2.636
882.0, 2.639
881.8, 2.638
881.6, 2.638
881.4, 2.638
881.2, 2.635
881.0, 2.635
880.8, 2.634
880.6, 2.634
880.4, 2.634
880.2, 2.631
880.0, 2.628
879.8, 2.625
879.6, 2.628
879.4, 2.630
879.2, 2.630
879.0, 2.630
878.8, 2.627
878.6, 2.624
878.4, 2.621
878.2, 2.619
878.0, 2.616
877.8, 2.616
877.6, 2.613
877.4, 2.613
877.2, 2.613
877.0, 2.608
876.8, 2.607
876.6, 2.605
876.4, 2.602
876.2, 2.600
876.0, 2.597
875.8, 2.594
875.6, 2.592
875.4, 2.590
875.2, 2.587
875.0, 2.585
874.8, 2.580
874.6, 2.578
874.4, 2.573
874.2, 2.568
874.0, 2.564
873.8, 2.559
873.6, 2.555
873.4, 2.550
873.2, 2.546
873.0, 2.539
872.8, 2.537
872.6, 2.533
872.4, 2.529
872.2, 2.527
872.0, 2.521
871.8, 2.513
871.6, 2.505
871.4, 2.497
871.2, 2.490
871.0, 2.486
870.8, 2.482
870.6, 2.475
870.4, 2.468
870.2, 2.459
870.0, 2.452
869.8, 2.445
869.6, 2.438
869.4, 2.432
869.2, 2.423
869.0, 2.415
868.8, 2.407
868.6, 2.398
868.4, 2.389
868.2, 2.382
868.0, 2.373
867.8, 2.366
867.6, 2.357
867.4, 2.348
867.2, 2.339
867.0, 2.329
866.8, 2.321
866.6, 2.313
866.4, 2.304
866.2, 2.296
866.0, 2.285
865.8, 2.276
865.6, 2.266
865.4, 2.255
865.2, 2.245
865.0, 2.236
864.8, 2.224
864.6, 2.214
864.4, 2.204
864.2, 2.194
864.0, 2.183
863.8, 2.174
863.6, 2.163
863.4, 2.154
863.2, 2.144
863.0, 2.135
862.8, 2.124
862.6, 2.114
862.4, 2.104
862.2, 2.094
862.0, 2.084
861.8, 2.074
861.6, 2.063
861.4, 2.053
861.2, 2.042
861.0, 2.031
860.8, 2.021
860.6, 2.010
860.4, 2.000
860.2, 1.990
860.0, 1.978
859.8, 1.969
859.6, 1.958
859.4, 1.947
859.2, 1.938
859.0, 1.926
858.8, 1.916
858.6, 1.905
858.4, 1.894
858.2, 1.884
858.0, 1.874
857.8, 1.865
857.6, 1.854
857.4, 1.842
857.2, 1.833
857.0, 1.822
856.8, 1.811
856.6, 1.803
856.4, 1.793
856.2, 1.783
856.0, 1.773
855.8, 1.763
855.6, 1.754
855.4, 1.744
855.2, 1.736
855.0, 1.726
854.8, 1.717
854.6, 1.708
854.4, 1.699
854.2, 1.690
854.0, 1.681
853.8, 1.672
853.6, 1.663
853.4, 1.654
853.2, 1.645
853.0, 1.636
852.8, 1.627
852.6, 1.619
852.4, 1.610
852.2, 1.601
852.0, 1.594
851.8, 1.586
851.6, 1.578
851.4, 1.570
851.2, 1.561
851.0, 1.553
850.8, 1.544
850.6, 1.535
850.4, 1.528
850.2, 1.520
850.0, 1.513
849.8, 1.505
849.6, 1.497
849.4, 1.490
849.2, 1.483
849.0, 1.475
848.8, 1.469
848.6, 1.461
848.4, 1.453
848.2, 1.446
848.0, 1.439
847.8, 1.431
847.6, 1.424
847.4, 1.417
847.2, 1.410
847.0, 1.403
846.8, 1.396
846.6, 1.389
846.4, 1.383
846.2, 1.377
846.0, 1.370
845.8, 1.364
845.6, 1.357
845.4, 1.350
845.2, 1.343
845.0, 1.336
844.8, 1.330
844.6, 1.324
844.4, 1.318
844.2, 1.313
844.0, 1.307
843.8, 1.300
843.6, 1.294
843.4, 1.289
843.2, 1.283
843.0, 1.278
842.8, 1.272
842.6, 1.266
842.4, 1.261
842.2, 1.256
842.0, 1.250
841.8, 1.245
841.6, 1.240
841.4, 1.236
841.2, 1.230
841.0, 1.226
840.8, 1.221
840.6, 1.216
840.4, 1.211
840.2, 1.205
840.0, 1.201
839.8, 1.196
839.6, 1.192
839.4, 1.187
839.2, 1.182
839.0, 1.178
838.8, 1.173
838.6, 1.169
838.4, 1.165
838.2, 1.161
838.0, 1.156
837.8, 1.153
837.6, 1.149
837.4, 1.145
837.2, 1.141
837.0, 1.137
836.8, 1.133
836.6, 1.129
836.4, 1.125
836.2, 1.122
836.0, 1.118
835.8, 1.114
835.6, 1.110
835.4, 1.106
835.2, 1.103
835.0, 1.100
834.8, 1.098
834.6, 1.095
834.4, 1.092
834.2, 1.089
834.0, 1.086
833.8, 1.083
833.6, 1.081
833.4, 1.078
833.2, 1.075
833.0, 1.072
832.8, 1.070
832.6, 1.067
832.4, 1.064
832.2, 1.061
832.0, 1.058
831.8, 1.056
831.6, 1.053
831.4, 1.052
831.2, 1.050
831.0, 1.048
830.8, 1.046
830.6, 1.043
830.4, 1.041
